gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HSPB8	1.92083668935489e-103	0.41854494077103	0.36	0.15	4.13287222081598e-99
MARCKSL1	8.4851865934505e-102	-0.470962014718842	0.907	0.969	1.82567274744681e-97
TPT1	1.09055405708156e-101	0.310590420241707	1	1	2.34643610921669e-97
KTN1	1.70526468525015e-101	0.3713834259301	0.996	0.989	3.66904749678422e-97
CALM1	2.01385026908302e-101	0.512699153430384	0.979	0.96	4.33300023895903e-97
LINC01503	2.13790499474482e-101	0.358836418893197	0.385	0.167	4.59991638669296e-97
ADM	2.42027587706082e-101	0.275257684799155	0.214	0.061	5.20746557708407e-97
PPP1R3B	8.92461253841066e-101	0.350072402809616	0.393	0.173	1.92021963376444e-96
KCNE4	2.32267529556436e-100	0.55031497477644	0.856	0.663	4.99746816593627e-96
JAG1	5.16681070321933e-100	0.3666211313901	0.413	0.191	1.11169099090467e-95
TAGLN2	5.41478887074617e-100	0.594535984120329	0.849	0.725	1.16504597342975e-95
SERF2	6.36985259364999e-100	0.274122521359657	1	1	1.37053748404973e-95
LPP	6.64075533757659e-100	0.460705692478147	0.657	0.407	1.42882491843298e-95
BOK	9.29483157446913e-100	0.274072429623165	0.283	0.1	1.99987596156278e-95
S100A13	4.35945853770632e-99	0.686142083309924	0.639	0.443	9.37981098972891e-95
MEG8	6.11670888840475e-99	0.32260967616476	0.345	0.141	1.31607108442917e-94
ZYX	8.34791269098537e-99	0.463978220804326	0.684	0.437	1.79613689459241e-94
OXTR	9.64242627011218e-99	0.270118519842766	0.185	0.048	2.07466443627734e-94
IGF2BP1	2.82945310728211e-98	-0.471305970373157	0.725	0.899	6.08785130562818e-94
FOSL2	3.06301505482609e-98	0.344461757514563	0.347	0.142	6.59038319196381e-94
ZFPM2	3.81412606617621e-98	0.275936272931334	0.247	0.081	8.20647364398474e-94
IL7R	6.71034082433777e-98	0.255738965809328	0.221	0.066	1.44379693176451e-93
SAMD5	5.84132436363556e-97	0.290360733508491	0.356	0.148	1.25681935007983e-92
EIF4EBP1	6.49611718640499e-97	-0.545692267084504	0.944	0.976	1.3977045738269e-92
DBI	8.70338339547936e-97	0.304639853116958	0.999	0.984	1.87261997137134e-92
KRAS	1.48634869534663e-95	0.543225475787704	0.784	0.618	3.19802785290781e-91
AKAP12	1.64147574410837e-95	0.640679194327554	0.797	0.592	3.53179921102356e-91
PARVA	2.31137453268649e-95	0.411850464845889	0.526	0.294	4.97315344452825e-91
LINC00461	4.66659964074474e-95	0.311279094143222	0.285	0.106	1.00406557870264e-90
ITGA5	1.21347167099373e-94	0.442404803877236	0.535	0.305	2.61090564731012e-90
FAM177A1	6.27723883120073e-94	0.478205711932757	0.76	0.558	1.35061070692115e-89
TMED10	6.88128098213944e-94	0.451047311399987	0.87	0.733	1.48057641611712e-89
RPL11	7.33496994959637e-94	-0.283596760272351	1	1	1.57819213435516e-89
CLEC11A	4.22782661651966e-93	0.546835226057183	0.759	0.554	9.09659174810371e-89
CTSL	5.23111924506164e-93	0.362533543509585	0.403	0.189	1.12552761676746e-88
RPS21	5.32082086581448e-93	-0.270568663574999	1	1	1.14482781748864e-88
CLEC2B	5.47392692435211e-93	0.310732068777804	0.298	0.116	1.1777701170436e-88
ATP1A1	1.10727362839032e-92	-0.431772007191962	0.89	0.979	2.3824099388446e-88
PSME1	3.76522549092692e-91	0.546216339808506	0.728	0.545	8.10125916627837e-87
MIR4435-2HG	8.12124717543501e-91	0.433467538651787	0.581	0.349	1.7473675422666e-86
UCHL1	8.44009247653003e-91	-0.476000491784525	0.928	0.964	1.8159702972502e-86
RRAS	9.30902919856149e-91	0.456393550657747	0.626	0.404	2.00293072236249e-86
AP2M1	9.82033435521633e-91	0.358777076660803	0.992	0.978	2.11294313986835e-86
LNPEP	1.75441880444806e-90	0.428060051842397	0.454	0.239	3.77480749965044e-86
PLEC	2.81342805650438e-90	0.447247246855518	0.687	0.465	6.05337180637483e-86
HSP90AB1	3.65889106163674e-90	-0.290490786919176	1	1	7.87247000821762e-86
MYBL1	2.18327710143785e-89	0.431360714655057	0.415	0.205	4.69753901145367e-85
RHOC	3.68978473952602e-89	0.451421353603966	0.7	0.488	7.93894084556418e-85
SNAI2	6.46711666102362e-89	0.420428659728153	0.354	0.158	1.39146482078584e-84
RAB13	1.13171743887524e-88	0.383372514359233	0.951	0.867	2.43500324148396e-84
COTL1	1.35463809868989e-88	0.460980539818588	0.534	0.306	2.91463933314116e-84
IER3	1.69785524202855e-88	0.579795065680438	0.565	0.337	3.65310533874863e-84
PSME2	2.08875943089383e-88	0.483413396709092	0.701	0.507	4.49417479151117e-84
CALR	3.13913783806045e-88	0.353011772658193	0.996	0.977	6.75416897237086e-84
PFN2	4.72549295511198e-88	-0.506813814691402	0.533	0.735	1.01673706422189e-83
IL13RA1	4.82844001380908e-88	0.31704665735964	0.391	0.183	1.03888715337116e-83
SET	6.94560841138407e-88	-0.312520745458419	0.999	1	1.4944171057934e-83
MT-ND3	4.45437269929698e-87	-0.277153625198823	0.999	1	9.58402829980739e-83
LAMB2	6.08249533051732e-87	0.283598987610368	0.292	0.116	1.30870969531411e-82
NCL	9.91532325557004e-87	-0.359720587015776	0.999	1	2.13338095166845e-82
STXBP6	2.00367253764323e-86	0.327793430388533	0.403	0.195	4.31110183199317e-82
CRABP1	9.19548213912882e-86	-0.690665058346321	0.25	0.519	1.97849993705496e-81
RPL22	1.28478527082594e-85	-0.279854490536076	1	1	2.76434398870909e-81
PEA15	1.49378632572656e-85	0.358002526921923	0.516	0.291	3.21403065843327e-81
ARHGAP21	7.90744208974396e-85	0.395040670913873	0.509	0.294	1.70136524002931e-80
RPL39	1.17389242466002e-84	-0.270096665070249	1	1	2.52574694089849e-80
ANTXR1	2.45514736862055e-84	0.496891556500949	0.767	0.605	5.28249507832398e-80
HMGN2	3.51688518200158e-84	-0.474103548243479	0.995	0.999	7.5669301575946e-80
SUSD5	4.98974508774376e-84	0.293740740932208	0.297	0.12	1.07359355307895e-79
HAP1	5.48456935376355e-84	-0.612794941424127	0.122	0.354	1.18005994215577e-79
RAB32	7.85073438061926e-84	0.304267380371161	0.279	0.11	1.68916400933404e-79
ARMCX2	2.93222242335246e-83	0.319377074167082	0.342	0.152	6.30896976608515e-79
LAMP1	3.49763431226939e-83	0.424858166980515	0.635	0.421	7.52550998627882e-79
ENO1	7.67326159875019e-83	0.253967443056498	1	1	1.65097896558709e-78
EIF1AX	2.38022122326277e-82	-0.413598821056151	0.931	0.983	5.12128398397217e-78
DNM3OS	3.55443464459141e-82	0.38374682899629	0.419	0.215	7.64772158130287e-78
PPA1	3.94803681273825e-82	-0.368417628745657	0.955	0.983	8.49459600628761e-78
NPM1	9.51093520856728e-82	-0.275706607687912	1	1	2.04637281947534e-77
CAV2	3.84724072735191e-81	0.45298423845113	0.822	0.662	8.27772314897037e-77
FAM84B	1.45077824790138e-80	-0.734186955205857	0.4	0.588	3.12149447818461e-76
NME4	1.82996211351081e-80	-0.431305756290953	0.899	0.949	3.93734648342987e-76
ILK	2.49674376668838e-80	0.393210520540365	0.618	0.41	5.37199388840672e-76
DNER	2.90323996191968e-80	0.326276088178606	0.312	0.136	6.24661110206639e-76
MTCH1	4.45470290351634e-80	0.401103818440773	0.903	0.806	9.58473876720577e-76
CAPNS1	4.8464374696838e-80	0.377207451496747	0.921	0.817	1.04275948597717e-75
IRS2	6.43619899633838e-80	-0.595093694320862	0.339	0.56	1.38481257605217e-75
RHOA	7.36658719195658e-80	0.385021688953266	0.972	0.959	1.58499490022138e-75
MFAP4	3.72349193748494e-79	-0.726464985075149	0.264	0.487	8.0114652526926e-75
FAM43A	1.16447169828996e-78	0.522963278653393	0.52	0.316	2.50547730604068e-74
TUBA1A	2.27256114957061e-78	0.461023815601083	0.924	0.851	4.88964256941613e-74
MBNL2	3.37425076000953e-78	0.341372473591323	0.413	0.211	7.2600379352365e-74
ENAH	3.43326740752283e-78	0.428698330791699	0.935	0.86	7.38701815402612e-74
TIMP1	1.59809763114396e-77	0.547847354816021	0.905	0.832	3.43846686316935e-73
HMGN5	2.71638974631436e-77	-0.497729288257112	0.284	0.497	5.84458417816997e-73
MSN	1.05652955625946e-76	0.375615039335959	0.94	0.875	2.27322899324785e-72
PFDN5	5.54430667833277e-76	0.354297607722632	0.999	0.998	1.19291302491008e-71
NUAK1	9.22511026247692e-76	0.262677897048704	0.264	0.105	1.98487472407453e-71
PRKD1	1.16535553730809e-75	0.287475431334652	0.359	0.17	2.50737897407208e-71
ANXA6	1.26865798405392e-75	0.433879881333854	0.638	0.447	2.7296445184904e-71
NEXN	2.24261944470741e-75	0.34170506592753	0.37	0.181	4.82521999723247e-71
LSAMP	2.49047310600447e-75	-0.462026654121759	0.079	0.285	5.35850193487921e-71
SRRM4	2.87283510013567e-75	0.296420276286599	0.284	0.119	6.1811920014519e-71
PRSS35	3.24267960971151e-75	0.481097212764568	0.681	0.482	6.97694944825529e-71
CLVS2	5.8914394560697e-75	0.34390751302841	0.474	0.264	1.26760211336796e-70
PRKCB	7.66888882582984e-75	-0.451908275327733	0.679	0.848	1.65003811976555e-70
PRDX1	8.63639392563455e-75	-0.290056230002289	0.999	0.999	1.85820651703953e-70
HMGN1	1.34040813768585e-74	-0.324757591172203	0.995	0.998	2.88402214904488e-70
CCDC171	1.89988401748102e-74	-0.420357410662307	0.203	0.433	4.08779045201216e-70
OST4	4.78024464267667e-74	0.285407403051742	0.998	0.995	1.02851743731831e-69
CD151	5.80956866664552e-74	0.418422285906193	0.787	0.641	1.24998679431545e-69
RPS18	8.90748909891646e-74	-0.263960003928983	1	1	1.91653535452286e-69
METRNL	1.49968703246798e-73	0.356931520930573	0.481	0.275	3.2267266190581e-69
MMP14	1.92619049530329e-73	0.25699545783932	0.3	0.131	4.14439146969455e-69
CDKN2A	2.44470142603654e-73	-0.544277520523145	0.093	0.301	5.26001958826023e-69
MDFI	4.78991545673365e-73	-0.412584327930191	0.456	0.687	1.03059820967081e-68
BACE2	7.95828399632126e-73	0.343072959543114	0.355	0.175	1.71230438464848e-68
FRMD6	9.92482508645762e-73	0.308785520922964	0.405	0.208	2.13542536560222e-68
TERF1	1.43214937711829e-72	0.481539516868955	0.767	0.597	3.08141259980772e-68
PHGDH	3.05357272717488e-72	-0.591651707072089	0.695	0.809	6.57006707978948e-68
VCL	3.23374712069625e-72	0.41244604450914	0.835	0.67	6.95773030489005e-68
STK17A	4.84268667829648e-72	0.419662081746742	0.608	0.409	1.04195246570227e-67
